t,mem_total_kb,mem_available_kb,swap_total_kb,swap_free_kb,psi_mem_avg10,psi_io_avg10,psi_cpu_avg10,order6plus_normal,order4plus_normal
1786543004.6749077,8131200,7041692,2097152,2097152,0.0,0.39,0.0,278,369
1786543005.19669,8131200,6180156,2097152,2097152,0.0,0.39,0.0,62,71
1786543005.7033823,8131200,6001464,2097152,2097152,0.0,0.39,0.0,26,57
1786543006.20948,8131200,6011692,2097152,2097152,0.0,0.32,0.0,28,73
1786543006.7193031,8131200,6012340,2097152,2097152,0.0,0.32,0.0,32,81
1786543007.2292464,8131200,6012380,2097152,2097152,0.0,0.32,0.0,32,82
1786543007.741554,8131200,6012144,2097152,2097152,0.0,0.32,0.0,33,83
1786543008.2535136,8131200,6012076,2097152,2097152,0.0,0.26,0.0,33,83
1786543008.7632287,8131200,6011368,2097152,2097152,0.0,0.26,0.0,33,83
1786543009.273773,8131200,6013552,2097152,2097152,0.0,0.26,0.0,33,84
1786543009.7803366,8131200,6012796,2097152,2097152,0.0,0.26,0.0,33,84
1786543010.2882512,8131200,6015148,2097152,2097152,0.0,0.21,0.0,33,85
1786543010.8020675,8131200,6013128,2097152,2097152,0.0,0.21,0.0,33,85
1786543011.3074555,8131200,6014120,2097152,2097152,0.0,0.21,0.0,33,85
1786543011.8196392,8131200,6013616,2097152,2097152,0.0,0.21,0.0,33,85
1786543012.325662,8131200,6016032,2097152,2097152,0.0,0.17,0.0,33,85
1786543012.8366048,8131200,6014772,2097152,2097152,0.0,0.17,0.0,33,85
1786543013.342112,8131200,6015684,2097152,2097152,0.0,0.17,0.0,33,87
1786543013.851807,8131200,6015156,2097152,2097152,0.0,0.17,0.0,33,87
1786543014.3579319,8131200,6016156,2097152,2097152,0.0,0.14,0.0,33,87
1786543014.8678415,8131200,6015904,2097152,2097152,0.0,0.14,0.0,33,87
1786543015.3760898,8131200,6018280,2097152,2097152,0.0,0.14,0.0,33,95
1786543015.8833356,8131200,6014432,2097152,2097152,0.0,0.14,0.0,33,95
1786543016.3904252,8131200,6016884,2097152,2097152,0.0,0.11,0.0,33,120
1786543016.8964581,8131200,6016128,2097152,2097152,0.0,0.11,0.0,33,120
1786543017.401476,8131200,6016944,2097152,2097152,0.0,0.11,0.0,33,125
1786543017.9092948,8131200,6016944,2097152,2097152,0.0,0.11,0.0,33,125
1786543018.4184308,8131200,6018980,2097152,2097152,0.0,0.09,0.0,33,148
1786543018.9241285,8131200,6017020,2097152,2097152,0.0,0.09,0.0,33,148
1786543019.431703,8131200,6020876,2097152,2097152,0.0,0.09,0.0,33,151
1786543019.9381616,8131200,6017348,2097152,2097152,0.0,0.07,0.0,33,151
1786543020.4493444,8131200,6017548,2097152,2097152,0.0,0.07,0.0,33,151
1786543020.9579651,8131200,6016792,2097152,2097152,0.0,0.07,0.0,33,151
1786543021.4638345,8131200,6018532,2097152,2097152,0.0,0.07,0.0,33,151
1786543021.9713688,8131200,6016396,2097152,2097152,0.0,0.06,0.0,33,152
1786543022.4814801,8131200,6015924,2097152,2097152,0.0,0.06,0.0,33,152
1786543022.9893448,8131200,6014356,2097152,2097152,0.0,0.06,0.0,33,152
1786543023.5013468,8131200,6015864,2097152,2097152,0.0,0.06,0.0,33,152
1786543024.0067787,8131200,6014456,2097152,2097152,0.0,0.05,0.0,33,152
1786543024.5155087,8131200,6015456,2097152,2097152,0.0,0.05,0.0,34,153
1786543025.0270104,8131200,6015484,2097152,2097152,0.0,0.05,0.0,34,159
1786543025.5399096,8131200,6016368,2097152,2097152,0.0,0.05,0.0,35,162
1786543026.0454707,8131200,6015700,2097152,2097152,0.0,0.04,0.0,37,166
1786543026.5525076,8131200,6015728,2097152,2097152,0.0,0.04,0.0,37,166
1786543027.06436,8131200,6015716,2097152,2097152,0.0,0.04,0.0,38,170
1786543027.5742047,8131200,6015716,2097152,2097152,0.0,0.04,0.0,38,170
1786543028.087073,8131200,6015240,2097152,2097152,0.0,0.03,0.0,39,171
1786543028.5972989,8131200,6014848,2097152,2097152,0.0,0.03,0.0,39,171
1786543029.104825,8131200,6015184,2097152,2097152,0.0,0.03,0.0,39,175
1786543029.614193,8131200,6013768,2097152,2097152,0.0,0.03,0.0,39,144
1786543030.1217039,8131200,6009480,2097152,2097152,0.0,0.02,0.0,39,105
