t,mem_total_kb,mem_available_kb,swap_total_kb,swap_free_kb,psi_mem_avg10,psi_io_avg10,psi_cpu_avg10,order6plus_normal,order4plus_normal
1786543033.167829,8131200,7033968,2097152,2097152,0.0,0.02,0.0,291,359
1786543033.692718,8131200,6743776,2097152,2097152,0.0,0.02,0.0,192,207
1786543034.1975594,8131200,6783136,2097152,2097152,0.0,0.01,0.0,200,225
1786543034.703544,8131200,6862740,2097152,2097152,0.0,0.01,0.0,220,245
1786543035.2092805,8131200,6956268,2097152,2097152,0.0,0.01,0.0,299,324
1786543035.715072,8131200,6549736,2097152,2097152,0.0,0.01,0.0,181,251
1786543036.2212524,8131200,6528956,2097152,2097152,0.0,0.01,0.0,139,164
1786543036.72636,8131200,6606504,2097152,2097152,0.0,0.01,0.0,155,180
1786543037.2316105,8131200,6702400,2097152,2097152,0.0,0.01,0.0,180,203
1786543037.7371264,8131200,6556748,2097152,2097152,0.0,0.01,0.0,147,163
1786543038.2436671,8131200,6740656,2097152,2097152,0.0,0.01,0.0,191,207
1786543038.7493358,8131200,6806512,2097152,2097152,0.0,0.01,0.0,208,224
1786543039.2541542,8131200,6905168,2097152,2097152,0.0,0.01,0.0,241,255
1786543039.760393,8131200,6983480,2097152,2097152,0.0,0.01,0.0,321,404
1786543040.265521,8131200,6556460,2097152,2097152,0.0,0.0,0.0,146,160
1786543040.7711124,8131200,6626580,2097152,2097152,0.0,0.0,0.0,163,179
1786543041.276658,8131200,6667836,2097152,2097152,0.0,0.0,0.0,172,187
1786543041.781696,8131200,6973316,2097152,2097152,0.0,0.0,0.0,321,414
1786543042.2866635,8131200,6975332,2097152,2097152,0.0,0.0,0.0,322,413
1786543042.792188,8131200,6510508,2097152,2097152,0.0,0.0,0.0,136,149
1786543043.297455,8131200,6569144,2097152,2097152,0.0,0.0,0.0,151,164
1786543043.803904,8131200,6794616,2097152,2097152,0.0,0.0,0.0,203,218
1786543044.3099742,8131200,6864932,2097152,2097152,0.0,0.0,0.0,230,243
1786543044.815347,8131200,6920408,2097152,2097152,0.0,0.0,0.0,282,296
1786543045.3205745,8131200,6968116,2097152,2097152,0.0,0.0,0.0,341,495
1786543045.8255496,8131200,6756448,2097152,2097152,0.0,0.0,0.0,193,226
1786543046.3307712,8131200,6791500,2097152,2097152,0.0,0.0,0.0,200,237
1786543046.836064,8131200,6853004,2097152,2097152,0.0,0.0,0.0,226,266
1786543047.3409712,8131200,6895968,2097152,2097152,0.0,0.0,0.0,263,303
1786543047.8471973,8131200,6500648,2097152,2097152,0.0,0.0,0.0,133,152
1786543048.352609,8131200,6538896,2097152,2097152,0.0,0.0,0.0,144,159
1786543048.8581572,8131200,6628528,2097152,2097152,0.0,0.0,0.0,164,177
1786543049.3642032,8131200,6689168,2097152,2097152,0.0,0.0,0.0,180,195
1786543049.8708856,8131200,6606892,2097152,2097152,0.0,0.0,0.0,242,426
1786543050.3758206,8131200,6522068,2097152,2097152,0.0,0.0,0.0,138,152
1786543050.8813288,8131200,6691920,2097152,2097152,0.0,0.0,0.0,180,194
1786543051.3896315,8131200,6732032,2097152,2097152,0.0,0.0,0.0,190,206
1786543051.8956208,8131200,6483152,2097152,2097152,0.0,0.0,0.0,129,144
1786543052.401549,8131200,6549432,2097152,2097152,0.0,0.0,0.0,146,161
1786543052.9071438,8131200,6618620,2097152,2097152,0.0,0.0,0.0,162,177
1786543053.4126086,8131200,6661248,2097152,2097152,0.0,0.0,0.0,173,187
1786543053.9179528,8131200,6890576,2097152,2097152,0.0,0.0,0.0,321,337
1786543054.4234521,8131200,6946672,2097152,2097152,0.0,0.0,0.0,404,664
1786543054.9301548,8131200,6667880,2097152,2097152,0.0,0.0,0.0,296,568
1786543055.4354813,8131200,6502612,2097152,2097152,0.0,0.0,0.0,134,149
1786543055.941293,8131200,6636632,2097152,2097152,0.0,0.0,0.0,164,179
1786543056.4464176,8131200,6771544,2097152,2097152,0.0,0.0,0.0,208,225
1786543056.9531689,8131200,6870264,2097152,2097152,0.0,0.0,0.0,294,309
1786543057.4584594,8131200,6908304,2097152,2097152,0.0,0.0,0.0,399,414
1786543057.964275,8131200,6950668,2097152,2097152,0.0,0.0,0.0,421,706
1786543058.4692078,8131200,6702116,2097152,2097152,0.0,0.0,0.0,179,196
